name,sku,description,price,compareAtPrice,stockQuantity,minStockAlert,requiresPrescription,isFeatured,dosageForm,strength,activeIngredients,manufacturer,categoryName
Safe & Sound First Aid Plasters Pack,SAF-SND-PLA,"Breathable, hypoallergenic adhesive plasters in assorted sizes for minor cuts and wound protection.",49.00,58.00,150,15,false,false,Plaster,Assorted Pack,Adhesive Dressing Material,Safe & Sound,First Aid
Esomeprazole 20mg Capsules - Mylan,ESO-20MG-MYL,"Daily proton pump inhibitor for heartburn prevention, acid reflux control, and stomach comfort.",131.00,150.00,120,15,false,false,Capsule,20mg,Esomeprazole Magnesium,Mylan / Viatris,Gastrointestinal
Prednisolone 5mg Tablets - Relon Chem,PRE-5MG-REL,"Glucocorticoid steroid for suppressing severe allergic reactions, asthma exacerbations, and inflammatory flares.",57.00,68.00,150,15,true,false,Tablet,5mg,Prednisolone,Relon Chem,Personal Care
Prednisolone 5mg Tablets - Accord,PRE-5MG-ACC,Systemic corticosteroid tablet managing acute inflammatory and autoimmune conditions.,57.00,68.00,150,15,true,false,Tablet,5mg,Prednisolone,Accord Healthcare,Personal Care
Prednisolone 5mg Suppositories,PRE-5MG-SUP,Rectal steroid suppositories for targeted treatment of ulcerative proctitis and local rectal inflammation.,4476.67,4800.00,20,2,true,false,Suppository,5mg,Prednisolone,Pharm AB,Personal Care
Prednisolone 1mg Tablets - Wockhardt,PRE-1MG-WOC,Low-strength prednisolone for precise tapering protocols in chronic autoimmune diseases.,69.00,80.00,100,10,true,false,Tablet,1mg,Prednisolone,Wockhardt,Personal Care
Prednisolone 1mg Tablets - Accord,PRE-1MG-ACC,Micro-dose corticosteroid enabling accurate dose titration and steroid withdrawal management.,69.00,80.00,100,10,true,false,Tablet,1mg,Prednisolone,Accord Healthcare,Personal Care
Glycerol 4g Adult Suppositories,GLY-4G-SUP,Gentle hyperosmotic rectal laxative stimulating rapid bowel evacuation within 15-30 minutes.,66.00,78.00,120,15,false,false,Suppository,4g,Glycerol (Glycerin),Martindale Pharma,Gastrointestinal
Water for Injection (10x10mL Ampoules) - Suhavi,WFI-10X10-SUH,Pack of 10 sterile ampoules (10mL each) for hospital and clinic drug reconstitution.,35.00,42.00,150,15,false,false,Injection,10x10mL,Sterile Water for Injection,Suhavi Pharma,Medical Supplies
Glucogel 40% Dextrose Gel (3x25g),GLU-40PCT-GEL,Fast-acting oral glucose gel tubes for the immediate emergency rescue of hypoglycemic episodes.,144.00,165.00,60,10,false,false,Gel,40% (3x25g),Dextrose (Glucose),BBI Healthcare,Diabetes Care
Rosuvastatin 10mg Tablets - Teva,ROS-10MG-TEV,High-efficacy statin for primary and secondary prevention of atherosclerotic cardiovascular disease.,212.80,240.00,100,10,true,false,Tablet,10mg,Rosuvastatin Calcium,Teva,Cardiovascular
Canesten HC Cream (30g),CAN-HC-30G,"Dual action antifungal & hydrocortisone cream for inflamed fungal skin infections, jock itch, and sweat rash.",152.00,175.00,80,10,false,false,Cream,30g,Clotrimazole 1% + Hydrocortisone 1%,Bayer,Personal Care
Enoxaparin Sodium 4000iu (40mg/0.4mL) Syringes,ENO-4000-SYR,LMWH pre-filled syringe for venous thromboembolism prophylaxis in surgical and medical patients.,450.00,500.00,50,5,true,false,Injection,4000iu (40mg/0.4mL),Enoxaparin Sodium,Sanofi / Generic,Cardiovascular
Cyanocobalamin 50mcg Tablets (Vitamin B12),CYA-50MCG-REM,"Essential Vitamin B12 supplement for nerve function, DNA synthesis, and red blood cell production.",41.00,50.00,150,15,false,false,Tablet,50mcg,Cyanocobalamin,Remedy Pharm,Vitamins & Supplements
Reliwipe Sterile Saline Wound Cleansing Wipes,REL-WND-WIP,"Sterile individual saline wipes for gentle, sting-free cleaning of wounds, grazes, and skin before dressing.",139.00,160.00,100,10,false,false,Cleansing Wipes,Pack of 100,0.9% Sterile Sodium Chloride,Reliance Medical,First Aid
Zovirax Cold Sore Cream (2g),ZOV-CS-2G,Targeted aciclovir antiviral cream speeding up cold sore healing and halting virus replication.,139.00,160.00,100,10,false,false,Cream,5% (2g),Aciclovir,Haleon / GSK,Personal Care
Glyceryl Trinitrate (GTN) 400mcg Sublingual Spray,GTN-400-SPR,Sublingual pump spray for rapid relief and prophylaxis of angina pectoris attacks.,147.00,170.00,80,10,true,false,Spray,400mcg/dose,Glyceryl Trinitrate,Accord Healthcare,Cardiovascular
Numark Antiseptic Cleansing Wipes,NUM-ANT-WIP,Individually wrapped antiseptic cleansing wipes for first-aid skin sanitization.,173.43,200.00,100,10,false,false,Cleansing Wipes,Pack of 100,Chlorhexidine + Cetrimide,Numark,First Aid
Dexamethasone / Neomycin Drops (Maxitrol),DEX-NEO-DRP,Combination steroid and aminoglycoside antibiotic drops for inflammatory ocular and aural infections.,54.00,65.00,90,10,true,false,Eye Drops,5mL,Dexamethasone + Neomycin Sulfate,Novartis,Eye Care
3M Steri-Strip Skin Closures,3M-STR-STP,Adhesive skin closure strips providing wound support and enhanced healing for lacerations and surgical incisions.,180.00,210.00,100,10,false,false,Plaster,Assorted Strips,Non-woven Porous Surgical Material,3M Health Care,First Aid
Tramadol 50mg Capsules,TRA-50MG-SOM,Centrally acting opioid analgesic for the management of moderate to severe acute and chronic pain.,80.00,95.00,80,10,true,false,Capsule,50mg,Tramadol Hydrochloride,Somex Pharma,Pain Relief
Bendroflumethiazide 2.5mg Tablets,BEN-25-CRE,Thiazide diuretic for essential hypertension and mild cardiac edema management.,11.80,16.00,200,20,true,false,Tablet,2.5mg,Bendroflumethiazide,Crescent Pharma,Cardiovascular
Gliclazide 80mg Tablets - Crescent Pack,GLI-80MG-CR2,Oral sulfonylurea promoting endogenous insulin release in Type 2 Diabetes.,139.00,160.00,150,15,true,false,Tablet,80mg,Gliclazide,Crescent Pharma,Diabetes Care
Metformin 500mg Tablets - Glenmark,MET-500-GLE,Antidiabetic tablet controlling blood sugar spikes and improving insulin sensitivity.,35.00,42.00,200,20,true,false,Tablet,500mg,Metformin Hydrochloride,Glenmark,Diabetes Care
Laxido Orange Oral Powder Sachets (30s),LAX-ORG-30S,Macrogol osmotic laxative with balanced electrolytes for chronic constipation and fecal impaction.,184.00,210.00,80,10,false,false,Powder,30 Sachets,Macrogol 3350 + Electrolytes,Galen Limited,Gastrointestinal
Vagisil Medicated Creme (30g),VAG-MED-30G,Fast-acting soothing cream with anesthetic properties for external feminine itching and irritation.,91.00,105.00,90,10,false,false,Cream,30g,Lidocaine 2%,Combe / Vagisil,Women Health
Salofalk 500mg Gastro-Resistant Tablets,SAL-500-FAL,Aminosalicylate anti-inflammatory for acute episodes and maintenance remission of Ulcerative Colitis.,885.00,960.00,40,5,true,false,Tablet,500mg,Mesalazine,Dr. Falk Pharma,Gastrointestinal
Sanatogen A-Z Complete Multivitamins,SAN-AZ-TAB,"Comprehensive daily formulation of 23 essential vitamins and minerals supporting immunity, energy, and vitality.",246.00,280.00,100,10,false,false,Tablet,Standard,Multivitamins & Minerals Formulation,Bayer / Sanatogen,Vitamins & Supplements
Bisoprolol 2.5mg Tablets - Ipca,BIS-25MG-IPC,Low-dose cardioselective beta-blocker for gentle blood pressure control and mild heart failure titration.,35.00,42.00,150,15,true,false,Tablet,2.5mg,Bisoprolol Fumarate,Ipca Laboratories,Cardiovascular
Lansoprazole 15mg Capsules - Milpharm,LAN-15MG-MIL,Proton pump inhibitor maintaining healing of reflux esophagitis and suppressing gastric acid secretion.,139.00,160.00,120,15,true,false,Capsule,15mg,Lansoprazole,Milpharm Limited,Gastrointestinal
Cortiment 9mg Prolonged-Release Tablets,COR-9MG-FER,Locally acting oral budesonide tablet targeting colonic inflammation in mild to moderate ulcerative colitis.,1570.00,1720.00,30,5,true,false,Tablet,9mg,Budesonide,Ferring Pharmaceuticals,Gastrointestinal
Elastoplast Fabric Elastic Plasters,ELA-FAB-PLA,Heavy fabric adhesive dressing adapting to body movements with strong adhesion and wound pad cushioning.,65.00,75.00,150,15,false,false,Plaster,Assorted Pack,Elastic Fabric Dressing Material,Beiersdorf,First Aid
Carvedilol 12.5mg Tablets - Milpharm,CAR-125-MIL,Dual alpha- and non-selective beta-blocker for comprehensive blood pressure lowering and congestive heart failure therapy.,32.00,40.00,120,15,true,false,Tablet,12.5mg,Carvedilol,Milpharm Limited,Cardiovascular
Hyabak 0.15% Eye Drops (10mL),HYA-015-10ML,Preservative-free hypotonic sodium hyaluronate artificial tears compatible with all contact lenses.,193.00,220.00,70,10,false,false,Eye Drops,0.15% (10mL),Sodium Hyaluronate,Thea Laboratories,Eye Care
CENLAX Calcium Sennosides 7.5mg Tablets,CEN-75MG-MAN,Gentle botanical laxative providing predictable overnight relief from constipation.,41.00,50.00,120,15,false,false,Tablet,7.5mg,Calcium Sennosides,Manx Healthcare,Gastrointestinal
Sennosides 7.5mg Tablets - Dawa,SEN-75MG-DAW,Standardized herbal sennosides promoting natural intestinal motility and bowel relief.,24.00,30.00,150,15,false,false,Tablet,7.5mg,Sennosides,Dawa Limited,Gastrointestinal
Sennosides 7.5mg Tablets - Alissa,SEN-75MG-ALI,Reliable stimulant laxative tablets for sluggish digestion and irregularity.,41.00,50.00,120,15,false,false,Tablet,7.5mg,Sennosides,Alissa Healthcare,Gastrointestinal
Accu-Chek FastClix Lancets (102s),ACC-FCL-102,"1-click lancet drums (6 lancets per drum, 17 drums = 102 lancets) with Clixmotion technology for virtually pain-free blood testing.",344.00,380.00,60,10,false,false,Diagnostic,102 Lancets,Sterile Surgical Stainless Steel Lancets,Roche Diabetes Care,Diabetes Care
